,id,name,url,summary,picture,birthplace,deathplace,birthdate,deathdate,cause_of_death,last name
0,0,vincent van gogh,http://wikigallery.org/wiki/artist36933/Vincent-Van-Gogh/page-1,"Vincent Willem van Gogh (Dutch: [ˈvɪnsɛnt ˈʋɪləm vɑŋ ˈɣɔx] (listen); 30 March 1853 – 29 July 1890) was a Dutch Post-Impressionist painter who posthumously became one of the most famous and influential figures in Western art history. In a decade, he created about 2,100 artworks, including around 860 oil paintings, most of which date from the last two years of his life. They include landscapes, still lifes, portraits and self-portraits, and are characterised by bold colours and dramatic, impulsive and expressive brushwork that contributed to the foundations of modern art. Not commercially successful, he struggled with severe depression and poverty, eventually leading to his suicide at age thirty-seven.
Born into an upper-middle class family, Van Gogh drew as a child and was serious, quiet, and thoughtful. As a young man, he worked as an art dealer, often traveling, but became depressed after he was transferred to London. He turned to religion and spent time as a Protestant missionary in southern Belgium. He drifted in ill health and solitude before taking up painting in 1881, having moved back home with his parents. His younger brother Theo supported him financially; the two kept a long correspondence by letter. His early works, mostly still lifes and depictions of peasant labourers, contain few signs of the vivid colour that distinguished his later work. In 1886, he moved to Paris, where he met members of the avant-garde, including Émile Bernard and Paul Gauguin, who were reacting against the Impressionist sensibility. As his work developed he created a new approach to still lifes and local landscapes. His paintings grew brighter as he developed a style that became fully realised during his stay in Arles in the South of France in 1888. During this period he broadened his subject matter to include series of olive trees, wheat fields and sunflowers.
Van Gogh suffered from psychotic episodes and delusions and though he worried about his mental stability, he often neglected his physical health, did not eat properly and drank heavily. His friendship with Gauguin ended after a confrontation with a razor when, in a rage, he severed part of his own left ear. He spent time in psychiatric hospitals, including a period at Saint-Rémy. After he discharged himself and moved to the Auberge Ravoux in Auvers-sur-Oise near Paris, he came under the care of the homeopathic doctor Paul Gachet. His depression persisted, and on 27 July 1890, Van Gogh is believed to have shot himself in the chest with a revolver, dying from his injuries two days later.
Van Gogh was commercially unsuccessful during his lifetime, and he was considered a madman and a failure. As he only became famous after his suicide, he came to be seen as a misunderstood genius in the public imagination. His reputation grew in the early 20th century as elements of his style came to be incorporated by the Fauves and German Expressionists. He attained widespread critical and commercial success over the ensuing decades, and is remembered as an important but tragic painter whose troubled personality typifies the romantic ideal of the tortured artist. Today, Van Gogh's works are among the world's most expensive paintings to have ever sold, and his legacy is honoured by a museum in his name, the Van Gogh Museum in Amsterdam, which holds the world's largest collection of his paintings and drawings.",0.0,0.0,342.0,1853-03-30,1890-07-29,Gunshot wound,gogh
1,1,pierre auguste renoir,http://wikigallery.org/wiki/artist39254/Pierre-Auguste-Renoir/page-1,"Pierre-Auguste Renoir (French: [pjɛʁ oɡyst ʁənwaʁ]; 25 February 1841 – 3 December 1919) was a French artist who was a leading painter in the development of the Impressionist style. As a celebrator of beauty and especially feminine sensuality, it has been said that ""Renoir is the final representative of a tradition which runs directly from Rubens to Watteau.""He was the father of actor Pierre Renoir (1885–1952), filmmaker Jean Renoir (1894–1979) and ceramic artist Claude Renoir (1901–1969). He was the grandfather of the filmmaker Claude Renoir (1913–1993), son of Pierre.",1.0,1.0,343.0,1841-02-25,1919-12-03,,renoir
2,2,claude oscar monet,http://wikigallery.org/wiki/artist39249/Claude-Oscar-Monet/page-1,"Oscar-Claude Monet (UK: , US: , French: [klod mɔnɛ]; 14 November 1840 – 5 December 1926) was a French painter and founder of impressionist painting who is seen as a key precursor to modernism, especially in his attempts to paint nature as he perceived it. During his long career, he was the most consistent and prolific practitioner of impressionism's philosophy of expressing one's perceptions before nature, especially as applied to plein air (outdoor) landscape painting. The term ""Impressionism"" is derived from the title of his painting Impression, soleil levant, exhibited in 1874 (the ""exhibition of rejects"") initiated by Monet and his associates as an alternative to the Salon.
Monet was raised in Le Havre, Normandy, and became interested in the outdoors and drawing from an early age. Although his mother, Louise-Justine Aubrée Monet, supported his ambitions to be a painter, his father, Claude-Adolphe, disapproved and wanted him to pursue a career in business. He was very close to his mother, but she died in January 1857 when he was sixteen years old, and he was sent to live with his childless, widowed but wealthy aunt, Marie-Jeanne Lecadre. He went on to study at the Académie Suisse, and under the academic history painter Charles Gleyre, where he was a classmate of Auguste Renoir. His early works include landscapes, seascapes, and portraits, but attracted little attention. A key early influence was Eugène Boudin who introduced him to the concept of plein air painting. From 1883, Monet lived in Giverny, also in northern France, where he purchased a house and property and began a vast landscaping project, including a water-lily pond.
Monet's ambition to document the French countryside led to a method of painting the same scene many times so as to capture the changing of light and the passing of the seasons. Among the best-known examples are his series of haystacks (1890–91), paintings of the Rouen Cathedral (1894), and the paintings of water lilies in his garden in Giverny that occupied him continuously for the last 20 years of his life.
Frequently exhibited and successful during his lifetime, Monet's fame and popularity soared in the second half of the 20th century when he became one of the world's most famous painters and a source of inspiration for burgeoning groups of artists.",2.0,2.0,344.0,1840-11-14,1926-12-05,,monet
3,3,fernando botero,http://wikigallery.org/wiki/artist37052/Fernando-Botero/page-1,"Fernando Botero Angulo (born 19 April 1932) is a Colombian figurative artist and sculptor, born in Medellín. His signature style, also known as ""Boterismo"", depicts people and figures in large, exaggerated volume, which can represent political criticism or humor, depending on the piece. He is considered the most recognized and quoted living artist from Latin America, and his art can be found in highly visible places around the world, such as Park Avenue in New York City and the Champs-Élysées in Paris.Self-titled ""the most Colombian of Colombian artists"" early on, Botero came to national prominence when he won the first prize at the Salón de Artistas Colombianos in 1958. He began creating sculptures after moving to Paris in 1973, achieving international recognition with exhibitions around the world by the 1990s. His art is collected by many major international museums, corporations, and private collectors. In 2012, he received the International Sculpture Center's Lifetime Achievement in Contemporary Sculpture Award.",3.0,3.0,,1932-04-19,,,botero
4,4,jean-léon gérôme,http://wikigallery.org/wiki/artist46453/Jean-L%C3%A9on-G%C3%A9r%C3%B4me/page-1,"Jean-Léon Gérôme (11 May 1824 – 10 January 1904) was a French painter and sculptor in the style now known as academicism. His paintings were so widely reproduced that he was ""arguably the world's most famous living artist by 1880."" The range of his oeuvre included historical painting, Greek mythology, Orientalism, portraits, and other subjects, bringing the academic painting tradition to an artistic climax. He is considered one of the most important painters from this academic period. He was also a teacher with a long list of students.",4.0,4.0,2.0,1824-05-11,1904-01-10,,gérôme
5,5,paul cezanne,http://wikigallery.org/wiki/artist39239/Paul-Cezanne/page-1,,,,,,,,cezanne
6,6,rembrandt van rijn,http://wikigallery.org/wiki/artist39674/Rembrandt-Van-Rijn/page-1,"Rembrandt Harmenszoon van Rijn (, Dutch: [ˈrɛmbrɑnt ˈɦɑrmə(n)ˌsoːɱ vɑn ˈrɛin] (listen); 15 July 1606 – 4 October 1669), usually simply known as Rembrandt, was a Dutch Golden Age painter, printmaker and draughtsman. An innovative and prolific master in three media, he is generally considered one of the greatest visual artists in the history of art and the most important in Dutch art history.Unlike most Dutch masters of the 17th century, Rembrandt's works depict a wide range of style and subject matter, from portraits and self-portraits to landscapes, genre scenes, allegorical and historical scenes, biblical and mythological themes and animal studies. His contributions to art came in a period of great wealth and cultural achievement that historians call the Dutch Golden Age, when Dutch art (especially Dutch painting), whilst antithetical to the Baroque style that dominated Europe, was prolific and innovative. This era gave rise to important new genres. Like many artists of the Dutch Golden Age, such as Jan Vermeer, Rembrandt was an avid art collector and dealer.
Rembrandt never went abroad, but was considerably influenced by the work of the Italian masters and Netherlandish artists who had studied in Italy, like Pieter Lastman, the Utrecht Caravaggists, Flemish Baroque, and Peter Paul Rubens. After he achieved youthful success as a portrait painter, Rembrandt's later years were marked by personal tragedy and financial hardships. Yet his etchings and paintings were popular throughout his lifetime, his reputation as an artist remained high, and for twenty years he taught many important Dutch painters.Rembrandt's portraits of his contemporaries, self-portraits and illustrations of scenes from the Bible are regarded as his greatest creative triumphs. His self-portraits form an intimate autobiography. Rembrandt's foremost contribution in the history of printmaking was his transformation of the etching process from a relatively new reproductive technique into an art form. His reputation as the greatest etcher in the history of the medium was established in his lifetime. Few of his paintings left the Dutch Republic while he lived, but his prints were circulated throughout Europe, and his wider reputation was initially based on them alone.

In his works, he exhibited knowledge of classical iconography. A depiction of a biblical scene was informed by Rembrandt's knowledge of the specific text, his assimilation of classical composition, and his observations of Amsterdam's Jewish population. Because of his empathy for the human condition, he has been called ""one of the great prophets of civilization"". The French sculptor Auguste Rodin said, ""Compare me with Rembrandt! What sacrilege! With Rembrandt, the colossus of Art! We should prostrate ourselves before Rembrandt and never compare anyone with him!""",6.0,5.0,79.0,1606-07-15,1669-10-04,,rijn
7,7,john singer sargent,http://wikigallery.org/wiki/artist39652/John-Singer-Sargent/page-1,,,,,,,,sargent
8,8,gustav klimt,http://wikigallery.org/wiki/artist36779/Gustav-Klimt/page-1,"Gustav Klimt (July 14, 1862 – February 6, 1918) was an Austrian symbolist painter and one of the most prominent members of the Vienna Secession movement. Klimt is noted for his paintings, murals, sketches, and other objets d'art. Klimt's primary subject was the female body, and his works are marked by a frank eroticism. Amongst his figurative works, which include allegories and portraits, he painted landscapes. Among the artists of the Vienna Secession, Klimt was the most influenced by Japanese art and its methods.Early in his career, he was a successful painter of architectural decorations in a conventional manner. As he began to develop a more personal style, his work was the subject of controversy that culminated when the paintings he completed around 1900 for the ceiling of the Great Hall of the University of Vienna were criticized as pornographic. He subsequently accepted no more public commissions, but achieved a new success with the paintings of his ""golden phase"", many of which include gold leaf. Klimt's work was an important influence on his younger peer Egon Schiele.",8.0,6.0,189.0,1862-07-14,1918-02-06,,klimt
9,9,joseph mallord william turner,http://wikigallery.org/wiki/artist39219/Joseph-Mallord-William-Turner/page-1,"Joseph Mallord William Turner  (23 April 1775 – 19 December 1851), known in his time as William Turner, was an English Romantic painter, printmaker and watercolourist. He is known for his expressive colouring, imaginative landscapes and turbulent, often violent marine paintings. He left behind more than 550 oil paintings, 2,000 watercolours, and 30,000 works on paper. He was championed by the leading English art critic John Ruskin from 1840, and is today regarded as having elevated landscape painting to an eminence rivalling history painting.Turner was born in Maiden Lane, Covent Garden, London, to a modest lower-middle-class family. He lived in London all his life, retaining his Cockney accent and assiduously avoiding the trappings of success and fame. A child prodigy, Turner studied at the Royal Academy of Arts from 1789, enrolling when he was 14, and exhibited his first work there at 15. During this period, he also served as an architectural draftsman. He earned a steady income from commissions and sales, which due to his troubled, contrary nature, were often begrudgingly accepted. He opened his own gallery in 1804 and became professor of perspective at the academy in 1807, where he lectured until 1828. He travelled around Europe from 1802, typically returning with voluminous sketchbooks.
Intensely private, eccentric and reclusive, Turner was a controversial figure throughout his career. He did not marry, but fathered two daughters, Evelina (1801–1874) and Georgiana (1811–1843), by his housekeeper Sarah Danby. He became more pessimistic and morose as he got older, especially after the death of his father, when his outlook deteriorated, his gallery fell into disrepair and neglect, and his art intensified. In 1841, Turner rowed a boat into the Thames so he could not be counted as present at any property in that year's census. He lived in squalor and poor health from 1845, and died in London in 1851 aged 76. Turner is buried in St Paul's Cathedral, London.",9.0,7.0,345.0,1775-04-23,1851-12-19,,turner
