,p.name,p.degree
0,Vincent Van Gogh,0.0
1,Pierre Auguste Renoir,0.0
2,Claude Oscar Monet,0.0
3,Fernando Botero,0.0
4,Jean-Léon Gérôme,2.0
5,Paul Cezanne,0.0
6,Rembrandt Van Rijn,1.0
7,John Singer Sargent,0.0
8,Gustav Klimt,0.0
9,Joseph Mallord William Turner,0.0
10,Raphael,0.0
11,Michelangelo Buonarroti,0.0
12,Francisco De Goya y Lucientes,0.0
13,Winslow Homer,0.0
14,Eugene Delacroix,0.0
15,Henri De Toulouse-Lautrec,0.0
16,Peter Paul Rubens,2.0
17,Camille Pissarro,0.0
18,Paul Gauguin,0.0
19,Edouard Manet,0.0
20,Canaletto,0.0
21,John Constable,0.0
22,Tiziano Vecellio,0.0
23,Edgar Degas,0.0
24,Alfred Sisley,0.0
25,Albrecht Durer,0.0
26,Albert Bierstadt,0.0
27,Egon Schiele,0.0
28,Jacques Louis David,1.0
29,Mary Cassatt,0.0
30,Giotto Di Bondone,0.0
31,Berthe Morisot,0.0
32,Odilon Redon,0.0
33,Martin Johnson Heade,0.0
34,Jean-Baptiste-Camille Corot,0.0
35,Thomas Moran,0.0
36,Frederic Edwin Church,0.0
37,Gustave Caillebotte,0.0
38,Franz Marc,0.0
39,George Inness,0.0
40,Joaquin Sorolla y Bastida,0.0
41,Sandro Botticelli,0.0
42,Giovanni Bellini,1.0
43,Annibale Carracci,0.0
44,Gustave Courbet,0.0
45,Caravaggio,0.0
46,"Bartlett, William Henry",0.0
47,Eugène Boudin,0.0
48,Arthur Rackham,0.0
49,Robert Henri,1.0
50,Frederic Remington,0.0
51,Theodore Gericault,0.0
52,William Merritt Chase,0.0
53,John Frederick Herring Snr,0.0
54,William Blake,0.0
55,Pieter the Elder Bruegel,0.0
56,Jean-Baptiste-Simeon Chardin,1.0
57,Jean-Honore Fragonard,1.0
58,Ivan Konstantinovich Aivazovsky,0.0
59,Childe Hassam,0.0
60,Lord Frederick Leighton,0.0
61,George Wesley Bellows,0.0
62,David The Younger Teniers,0.0
63,Thomas Gainsborough,0.0
64,Caspar David Friedrich,0.0
65,James Jacques Joseph Tissot,0.0
66,Jean-Francois Millet,0.0
67,Jacopo Tintoretto,0.0
68,George Stubbs,0.0
69,Edouard   Vuillard,0.0
70,Jean-Antoine Watteau,0.0
71,Paul Signac,0.0
72,William Hogarth,0.0
73,Armand Guillaumin,0.0
74,Arnold Böcklin,0.0
75,Nicolas Poussin,0.0
76,Paul Sandby,0.0
77,August Macke,0.0
78,Oene Romkes De Jongh,0.0
79,Charles Robert Leslie,0.0
80,Jan Vermeer Van Delft,0.0
81,(after) Hieronymus Bosch,0.0
82,Joan Eardley,0.0
83,(after) Pietro Antonio Rotari,0.0
84,John Linnell,0.0
85,Claudio Coello,0.0
86,Marianne Preindelsberger Stokes,0.0
87,Frederick Judd Waugh,0.0
88,Jan Van Eyck,0.0
89,Rosa Bonheur,0.0
90,Wilhelm Kuhnert,0.0
91,Sir Joseph Noel Paton,0.0
92,Raja Ravi Varma,0.0
93,William-Adolphe Bouguereau,1.0
94,(after) William Etty,0.0
95,Charles Christian Nahl,0.0
96,Carl Larsson,0.0
97,Sir Henry Raeburn,0.0
98,Eustache Le Sueur,0.0
99,Robert Frederick Blum,0.0
100,Theodor Van Thulden,0.0
101,Georg Balthasar Probst,0.0
102,Ernst Ludwig Kirchner,0.0
103,Frans Mortelmans,0.0
104,Joseph Farquharson,0.0
105,William Henry Hunt,0.0
106,Louis de Caullery,0.0
107,(after) Philippe De Champaigne,0.0
108,John William Godward,0.0
109,(after) Harmenszoon Van Rijn Rembrandt,0.0
110,Timoleon Marie Lobrichon,0.0
111,Istvan Csok,0.0
112,"(after) Dyck, Sir Anthony van",0.0
113,Louis Anquetin,0.0
114,Sir David Wilkie,0.0
115,Alexandre Evariste Fragonard,0.0
116,Auguste Joseph Marie De Mersseman,0.0
117,Peter Monamy,0.0
118,Axel Birkhammer,0.0
119,Charles-Francois Daubigny,0.0
120,(after) (Giovanni Antonio Canal) Canaletto,0.0
121,Arthur W. Perry,0.0
122,Gilbert Gaul,0.0
123,Gaston de La Touche,0.0
124,John Tenniel,0.0
125,Thomas Ralph Spence,0.0
126,Albert Edelfelt,0.0
127,Joseph Nash,0.0
128,Tivadar Kosztka Csontváry,0.0
129,Collier Twentyman Smithers,0.0
130,Grant Wood,0.0
131,Gabriel Joseph Marie Augustin Ferrier,0.0
132,Edvard Munch,0.0
133,Federico de Madrazo y Kuntz,0.0
134,Salvador Dali,0.0
135,Ulpiano Checa y Sanz,0.0
136,Alfred Morgan,0.0
137,William Holbrook Beard,0.0
138,Walter Withers,0.0
139,Tamara de Lempicka,0.0
140,Sir Joshua Reynolds,0.0
141,Girolamo Francesco Maria Mazzola (Parmigianino),0.0
142,Victor Honore Janssens,0.0
143,Platt Powell Ryder,0.0
144,Heinz Pinggera,0.0
145,Harry Hamilton Johnston,0.0
