,name,location,city,country
0,vincent_van_gogh,Zundert Netherlands,Zundert,Netherlands
1,pierre_auguste_renoir,Zundert Netherlands,Zundert,Netherlands
2,claude_oscar_monet,Zundert Netherlands,Zundert,Netherlands
3,fernando_botero,Zundert Netherlands,Zundert,Netherlands
4,jean_léon_gérôme,Zundert Netherlands,Zundert,Netherlands
5,paul_cezanne,Zundert Netherlands,Zundert,Netherlands
6,rembrandt_van_rijn,Zundert Netherlands,Zundert,Netherlands
7,john_singer_sargent,Zundert Netherlands,Zundert,Netherlands
8,gustav_klimt,Baumgarten Austrian Empire,Baumgarten,Austrian
9,joseph_mallord_william_turner,Baumgarten Austrian Empire,Baumgarten,Austrian
10,raphael,Urbino Duchy of Urbino,Urbino,Duchy
11,michelangelo_buonarroti,Urbino Duchy of Urbino,Urbino,Duchy
12,francisco_de_goya_y_lucientes,Urbino Duchy of Urbino,Urbino,Duchy
13,winslow_homer,Urbino Duchy of Urbino,Urbino,Duchy
14,eugene_delacroix,Urbino Duchy of Urbino,Urbino,Duchy
15,henri_de_toulouse_lautrec,Urbino Duchy of Urbino,Urbino,Duchy
16,peter_paul_rubens,Urbino Duchy of Urbino,Urbino,Duchy
17,camille_pissarro,Urbino Duchy of Urbino,Urbino,Duchy
18,paul_gauguin,Urbino Duchy of Urbino,Urbino,Duchy
19,edouard_manet,Paris Kingdom of France,Paris,Kingdom
20,canaletto,Venice Venetian Republic,Venice,Venetian
21,john_constable,East Bergholt Suffolk England,East,Bergholt
22,tiziano_vecellio,East Bergholt Suffolk England,East,Bergholt
23,edgar_degas,East Bergholt Suffolk England,East,Bergholt
24,alfred_sisley,East Bergholt Suffolk England,East,Bergholt
25,albrecht_durer,East Bergholt Suffolk England,East,Bergholt
26,albert_bierstadt,East Bergholt Suffolk England,East,Bergholt
27,egon_schiele,Tulln an der Donau Austro-Hungarian Empire,Tulln,an
28,jacques_louis_david,Tulln an der Donau Austro-Hungarian Empire,Tulln,an
29,mary_cassatt,Tulln an der Donau Austro-Hungarian Empire,Tulln,an
30,giotto_di_bondone,near Florence Republic of Florence (present-day Italian Republic),near,Florence
31,berthe_morisot,near Florence Republic of Florence (present-day Italian Republic),near,Florence
32,odilon_redon,near Florence Republic of Florence (present-day Italian Republic),near,Florence
33,martin_johnson_heade,near Florence Republic of Florence (present-day Italian Republic),near,Florence
34,jean_baptiste_camille_corot,near Florence Republic of Florence (present-day Italian Republic),near,Florence
35,thomas_moran,near Florence Republic of Florence (present-day Italian Republic),near,Florence
36,frederic_edwin_church,near Florence Republic of Florence (present-day Italian Republic),near,Florence
37,gustave_caillebotte,near Florence Republic of Florence (present-day Italian Republic),near,Florence
38,franz_marc,near Florence Republic of Florence (present-day Italian Republic),near,Florence
39,george_inness,near Florence Republic of Florence (present-day Italian Republic),near,Florence
40,joaquin_sorolla_y_bastida,near Florence Republic of Florence (present-day Italian Republic),near,Florence
41,sandro_botticelli,near Florence Republic of Florence (present-day Italian Republic),near,Florence
42,giovanni_bellini,near Florence Republic of Florence (present-day Italian Republic),near,Florence
43,annibale_carracci,near Florence Republic of Florence (present-day Italian Republic),near,Florence
44,gustave_courbet,near Florence Republic of Florence (present-day Italian Republic),near,Florence
